Eastern Conference,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,1,2,3,4,5,6,7,8,,1-6,7,8,9,10,Out,,Win Conf,Win Finals
Boston Celtics,56.4,23.6,.705,1.32,-0.47,9.85,13-4,43-20,70-10,44-36,100.0%,75.9%,71.1,20.1,6.2,1.8,0.7,0.1,0.1,,,99.9,0.1,,,,,,41.4%,28.4%
Philadelphia 76ers,52.8,27.2,.659,1.45,-0.57,8.01,11-5,42-22,65-15,39-41,99.6%,23.1%,20.9,41.8,20.6,9.2,4.1,2.0,0.7,0.5,,98.5,0.9,0.4,0.2,0.1,,,25.8%,15.3%
Orlando Magic,49.5,30.5,.619,-0.31,-0.16,4.99,12-5,37-26,62-18,35-45,97.4%,74.3%,5.8,21.6,29.2,16.8,10.8,7.2,3.8,2.2,,91.4,4.0,2.5,1.3,0.5,0.4,,10.1%,4.8%
Milwaukee Bucks,45.8,34.2,.573,-0.71,0.27,2.17,12-5,34-29,60-20,30-50,84.7%,53.7%,0.8,4.9,12.6,16.6,16.6,14.2,10.9,8.3,,65.6,11.6,9.6,6.7,4.2,2.3,,3.4%,1.3%
New York Knicks,45.8,34.2,.573,0.34,0.09,4.09,9-7,37-27,63-17,31-49,86.2%,0.9%,0.8,4.2,10.3,16.6,17.9,15.4,11.8,9.1,,65.3,12.0,9.5,6.7,4.4,2.1,,6.9%,2.9%
Atlanta Hawks,44.9,35.1,.562,1.33,-0.35,3.77,8-8,37-27,58-22,30-50,79.5%,18.9%,0.4,3.4,8.1,13.0,14.4,15.4,14.0,10.9,,54.7,14.1,11.3,9.9,6.5,3.6,,5.3%,2.0%
Indiana Pacers,44.2,35.8,.552,-0.74,0.14,2.60,9-6,35-30,59-21,30-50,74.8%,36.6%,0.2,2.5,7.0,11.8,14.0,13.9,13.4,12.1,,49.3,13.1,13.0,10.8,8.3,5.5,,3.3%,1.1%
Miami Heat,42.5,37.5,.531,-1.28,0.30,0.72,10-7,32-31,56-24,28-52,56.4%,6.9%,0.1,0.8,2.6,5.8,8.0,11.2,13.0,14.9,,28.5,13.4,15.2,16.1,14.8,11.9,,1.1%,0.4%
Brooklyn Nets,41.7,38.3,.522,0.96,0.15,1.71,8-8,34-30,57-23,28-52,52.4%,0.1%,,0.4,1.7,4.2,6.6,9.6,13.6,16.3,,22.5,12.8,14.8,17.0,17.0,15.9,,1.7%,0.5%
Cleveland Cavaliers,40.9,39.1,.512,1.83,-0.39,0.01,9-8,32-31,55-25,25-55,41.3%,9.6%,,0.3,1.5,3.1,4.8,6.7,11.1,13.9,,16.3,11.0,13.7,17.3,21.1,20.7,,0.6%,0.1%
Toronto Raptors,39.2,40.8,.491,0.51,0.26,0.04,8-9,31-32,55-25,24-56,27.4%,,,0.1,0.3,1.2,2.3,4.3,7.6,11.7,,8.2,7.0,9.8,13.6,21.8,39.7,,0.5%,0.2%
Chicago Bulls,30.0,50.0,.375,0.95,0.22,-4.61,5-13,25-37,44-36,17-63,0.3%,,,,,,,,0.1,0.2,,,,0.1,0.4,1.2,98.3,,,
Charlotte Hornets,27.4,52.6,.342,0.23,0.71,-7.84,5-10,22-43,43-37,14-66,0.1%,,,,,,,,,,,,,,0.1,0.3,99.7,,,
Detroit Pistons,25.4,54.6,.317,0.41,0.39,-7.03,2-14,23-41,41-39,11-69,,,,,,,,,,,,,,,,0.1,99.9,,,
Washington Wizards,22.5,57.5,.282,0.31,0.57,-9.26,2-14,21-43,37-43,11-69,,,,,,,,,,,,,,,,,100.0,,,
