Western Conference,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,1,2,3,4,5,6,7,8,,1-6,7,8,9,10,Out,,Win Conf,Win Finals
Minnesota Timberwolves,56.3,25.7,.686,0.20,-0.88,7.15,15-4,41-22,72-10,43-39,100.0%,61.0%,60.6,30.3,7.1,1.6,0.3,0.2,,,,99.9,,,,,,,31.6%,14.2%
Oklahoma City Thunder,54.7,27.3,.667,-0.42,-0.59,7.95,13-6,42-21,68-14,40-42,100.0%,34.1%,33.9,45.7,14.9,3.8,1.1,0.4,0.1,0.1,,99.7,0.2,0.1,,,,,37.3%,18.0%
Denver Nuggets,49.9,32.1,.608,-0.34,-0.42,3.75,14-7,36-25,65-17,35-47,98.0%,4.9%,4.8,16.7,40.7,17.9,9.0,4.9,2.7,1.4,,93.9,3.0,1.6,0.9,0.5,0.2,,11.2%,3.6%
Houston Rockets,44.0,38.0,.537,-0.50,-0.45,2.32,8-9,36-29,60-22,29-53,73.4%,44.7%,0.2,1.9,7.5,13.6,14.7,12.5,12.2,11.0,,50.3,11.4,11.2,10.4,9.0,7.9,,4.6%,1.1%
Golden State Warriors,43.9,38.1,.535,1.66,-1.00,2.01,9-11,35-27,57-25,29-53,73.8%,28.4%,0.1,1.7,7.5,12.3,13.6,14.0,12.9,11.9,,49.1,13.0,11.6,10.2,9.0,7.1,,4.3%,1.1%
Phoenix Suns,43.0,38.0,.531,-2.31,0.22,0.59,12-8,31-30,57-24,28-53,68.6%,24.3%,0.1,1.0,5.2,11.5,12.8,13.7,12.0,12.4,,44.3,12.2,12.3,11.2,10.9,9.1,,2.2%,0.4%
Sacramento Kings,42.7,38.3,.527,0.24,0.05,0.02,11-7,32-31,57-24,29-52,65.1%,22.2%,0.1,0.7,4.6,10.8,12.1,12.5,12.1,12.1,,40.9,12.9,13.1,12.4,11.1,9.7,,1.7%,0.2%
Los Angeles Clippers,42.5,39.5,.518,-1.67,0.14,1.59,9-10,33-30,56-26,29-53,60.3%,16.8%,0.1,0.7,3.9,7.8,9.7,10.7,13.7,13.6,,32.9,12.4,13.6,14.2,13.0,13.9,,2.8%,0.6%
New Orleans Pelicans,42.6,38.4,.526,0.13,-0.50,0.94,11-10,32-28,57-24,30-51,66.5%,34.1%,0.1,0.6,4.3,10.8,12.5,13.5,12.2,12.5,,41.8,13.3,11.5,12.3,11.4,9.8,,2.7%,0.5%
Dallas Mavericks,41.7,40.3,.509,-0.98,-0.02,-0.77,11-8,31-32,56-26,27-55,51.2%,21.2%,0.1,0.5,2.8,5.8,8.0,9.9,11.6,12.6,,27.1,10.8,13.2,13.7,16.0,19.2,,0.8%,0.1%
Los Angeles Lakers,40.6,40.4,.501,-0.11,0.19,-1.06,12-9,29-31,56-25,28-53,43.0%,8.4%,,0.3,1.6,4.2,6.3,7.8,10.4,12.4,,20.1,10.9,11.9,14.8,18.7,23.7,,0.8%,0.1%
Utah Jazz,27.5,54.5,.336,-1.16,0.88,-7.56,7-13,21-41,43-39,15-67,0.1%,,,,,,,,,0.1,,,,,0.1,0.2,99.7,,,
Portland Trail Blazers,27.1,54.9,.331,-1.13,0.73,-7.86,6-13,21-42,42-40,15-67,,,,,,,,,,,,,,,,0.1,99.8,,,
Memphis Grizzlies,26.5,55.5,.323,-1.64,0.51,-7.64,5-14,21-42,43-39,14-68,,,,,,,,,,,,,,,,0.1,99.9,,,
San Antonio Spurs,21.1,60.9,.257,1.59,0.09,-10.83,3-16,18-45,36-46,9-73,,,,,,,,,,,,,,,,,100.0,,,
