Western Conference,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,1,2,3,4,5,6,7,8,,1-6,7,8,9,10,Out,,Win Conf,Win Finals
Minnesota Timberwolves,53.6,26.4,.670,0.59,-0.71,7.59,12-4,42-22,68-12,39-41,99.9%,56.8%,53.7,27.3,10.4,5.0,2.0,0.9,0.4,0.2,,99.4,0.4,0.1,0.1,,,,31.3%,15.9%
Oklahoma City Thunder,52.3,27.7,.654,-0.73,-0.59,7.58,11-5,41-23,65-15,37-43,99.7%,37.2%,34.6,34.3,15.8,8.1,3.7,2.0,0.7,0.5,,98.4,0.8,0.4,0.2,0.1,,,31.3%,16.0%
Denver Nuggets,47.4,32.6,.593,-0.33,-0.56,3.50,11-6,36-27,61-19,33-47,93.7%,6.0%,5.0,11.6,20.9,20.0,15.8,10.1,6.2,4.1,,83.4,6.9,4.5,3.1,1.5,0.7,,9.7%,3.2%
Houston Rockets,47.1,32.9,.589,-0.63,-0.77,4.66,8-6,39-27,62-18,33-47,92.7%,72.1%,4.3,14.2,20.8,18.8,13.8,9.8,6.5,4.5,,81.7,6.8,4.8,3.5,2.1,1.1,,10.9%,3.7%
Phoenix Suns,43.8,36.2,.548,-2.67,0.20,1.21,11-6,33-30,57-23,31-49,73.0%,31.9%,0.7,3.3,8.0,11.4,13.3,13.0,12.1,11.3,,49.6,12.9,11.1,11.0,8.7,6.7,,3.3%,0.8%
Golden State Warriors,43.6,36.4,.545,2.18,-1.05,2.35,8-9,36-27,57-23,28-52,73.3%,28.4%,0.6,3.3,7.7,9.8,12.4,14.1,13.8,11.7,,47.9,13.6,12.4,10.4,9.1,6.7,,5.0%,1.5%
New Orleans Pelicans,42.7,37.3,.534,1.22,-0.78,1.22,9-8,34-29,59-21,30-50,64.9%,17.3%,0.4,2.0,4.9,7.4,10.5,13.5,13.2,13.1,,38.6,13.3,13.2,12.7,12.2,10.0,,2.5%,0.6%
Sacramento Kings,42.2,37.8,.528,0.18,0.06,0.38,9-6,33-32,56-24,28-52,57.6%,17.0%,0.3,1.5,4.1,6.2,9.2,10.4,12.6,13.3,,31.6,12.4,14.1,14.4,14.2,13.3,,1.8%,0.4%
Dallas Mavericks,41.4,38.6,.517,-1.55,0.31,-0.43,10-6,31-33,55-25,27-53,49.8%,10.5%,0.2,1.1,2.5,4.3,7.2,10.0,11.2,13.4,,25.2,11.5,12.9,14.4,17.0,19.1,,1.3%,0.3%
Los Angeles Lakers,41.4,38.6,.517,-0.56,0.24,0.09,10-7,31-32,56-24,29-51,50.2%,12.2%,0.1,0.8,2.7,4.9,6.7,8.9,12.1,14.0,,24.1,11.2,13.6,15.5,17.1,18.5,,1.3%,0.2%
Los Angeles Clippers,40.8,39.2,.510,-2.78,0.33,1.36,7-8,34-31,55-25,25-55,45.3%,10.5%,0.1,0.7,2.3,4.1,5.5,7.5,11.2,13.9,,20.2,10.2,12.8,14.9,17.8,24.1,,1.7%,0.4%
Utah Jazz,26.6,53.4,.333,-1.15,0.81,-8.02,5-11,22-42,40-40,13-67,,,,,,,,,,,,,,,,0.2,99.8,,,
Portland Trail Blazers,24.2,55.8,.302,-1.08,0.69,-9.51,4-12,20-44,39-41,10-70,,,,,,,,,,,,,,,,,100.0,,,
Memphis Grizzlies,22.7,57.3,.283,-1.61,0.57,-10.04,3-13,20-44,36-44,9-71,,,,,,,,,,,,,,,,,100.0,,,
San Antonio Spurs,21.3,58.7,.266,1.74,0.08,-11.15,3-14,18-45,35-45,8-72,,,,,,,,,,,,,,,,,100.0,,,
