Eastern Conference,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,1,2,3,4,5,6,7,8,,1-6,7,8,9,10,Out,,Win Conf,Win Finals
Boston Celtics,63.0,19.0,.769,0.28,-0.70,10.78,26-6,37-13,73-9,52-30,100.0%,89.8%,89.4,9.8,0.9,,,,,,,100.0,,,,,,,51.9%,36.5%
Philadelphia 76ers,58.0,24.0,.707,-0.51,-0.68,9.56,22-10,36-14,68-14,46-36,100.0%,10.2%,9.9,73.5,15.3,1.2,0.2,,,,,100.0,,,,,,,35.5%,22.6%
Milwaukee Bucks,53.0,29.0,.647,-1.06,0.36,4.52,24-9,29-20,64-18,40-42,99.9%,93.1%,0.7,15.6,65.9,12.2,3.8,1.2,0.3,0.2,,99.4,0.4,0.1,,,,,6.0%,2.2%
Orlando Magic,47.5,34.5,.580,0.07,-0.74,2.25,19-13,29-21,59-23,35-47,95.8%,75.8%,,0.9,10.4,38.5,21.6,13.4,7.1,4.0,,84.7,8.2,4.7,1.7,0.7,0.1,,2.3%,0.7%
New York Knicks,45.2,36.8,.551,0.48,0.08,2.05,18-15,27-22,58-24,30-52,87.7%,,,0.1,2.3,14.7,21.7,20.8,17.4,10.7,,59.6,19.1,13.0,5.4,2.1,0.9,,1.7%,0.5%
Indiana Pacers,44.5,37.5,.543,-0.45,0.29,1.55,18-14,27-23,57-25,33-49,84.1%,4.1%,,0.1,2.3,12.0,19.6,20.1,18.0,12.0,,54.1,18.8,15.1,6.9,3.4,1.8,,1.2%,0.2%
Cleveland Cavaliers,44.7,37.3,.545,1.06,-0.93,0.97,18-15,27-22,56-26,33-49,82.6%,2.9%,,0.1,1.9,11.1,18.1,20.5,18.8,12.2,,51.6,20.8,16.2,7.3,2.7,1.4,,0.8%,0.3%
Miami Heat,43.7,38.3,.533,-0.88,0.09,0.12,19-14,25-24,57-25,32-50,75.9%,23.4%,,0.1,1.1,10.0,13.0,18.0,19.0,14.8,,42.1,19.4,20.7,10.7,4.8,2.4,,0.5%,0.1%
Atlanta Hawks,37.4,44.6,.456,-0.20,0.18,-0.70,13-19,24-26,51-31,25-57,16.8%,0.9%,,,,0.2,0.4,1.2,3.9,11.0,,1.8,2.8,6.2,15.9,21.1,52.2,,0.1%,
Brooklyn Nets,38.3,43.7,.466,-0.17,0.21,-0.93,15-18,23-26,51-31,24-58,25.8%,,,,,0.1,0.8,2.4,7.5,14.9,,3.3,5.3,11.2,22.3,23.5,34.5,,0.1%,
Chicago Bulls,38.0,44.0,.464,0.61,-0.83,-1.54,15-19,23-25,50-32,27-55,20.4%,,,,,0.1,0.7,1.9,5.4,12.3,,2.7,3.7,8.7,19.6,24.5,40.8,,,
Toronto Raptors,36.1,45.9,.440,0.06,0.00,-1.15,13-20,23-26,49-33,24-58,11.1%,,,,,,0.2,0.5,2.6,7.8,,0.7,1.5,4.2,10.3,17.4,66.0,,,
Charlotte Hornets,20.4,61.6,.248,0.57,0.37,-10.53,7-24,13-38,33-49,11-71,,,,,,,,,,,,,,,,,100.0,,,
Washington Wizards,20.2,61.8,.246,0.07,0.47,-9.40,6-26,14-36,31-51,9-73,,,,,,,,,,,,,,,,,100.0,,,
Detroit Pistons,16.2,65.8,.198,0.97,-0.07,-10.33,3-30,13-36,28-54,7-75,,,,,,,,,,,,,,,,,100.0,,,
