Eastern Conference,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,1,2,3,4,5,6,7,8,,1-6,7,8,9,10,Out,,Win Conf,Win Finals
Boston Celtics,59.3,21.7,.732,1.70,-0.62,11.07,15-4,44-18,72-9,44-37,100.0%,82.4%,81.6,15.9,2.0,0.5,0.1,,,,,100.0,,,,,,,48.1%,34.4%
Philadelphia 76ers,55.0,27.0,.671,1.85,-0.85,8.85,12-7,43-20,67-15,41-41,99.9%,16.8%,16.4,57.6,16.1,6.0,2.6,1.0,0.2,0.1,,99.6,0.2,0.1,,,,,28.2%,17.0%
Orlando Magic,49.0,33.0,.597,-0.95,0.07,3.35,14-6,35-27,63-19,34-48,94.0%,79.1%,0.8,9.8,24.5,22.6,15.7,10.7,6.1,3.9,,84.0,7.0,4.4,2.8,1.2,0.6,,4.7%,1.8%
New York Knicks,48.4,32.6,.598,-0.57,0.43,4.85,12-7,36-26,62-19,35-46,94.6%,0.8%,0.7,8.4,24.0,21.7,17.1,11.5,6.9,4.3,,83.4,7.2,5.0,2.5,1.3,0.7,,7.3%,3.1%
Milwaukee Bucks,47.2,33.8,.582,-0.61,0.36,2.39,14-6,33-28,61-20,33-48,88.5%,66.0%,0.4,5.4,17.0,18.8,17.4,13.6,9.3,6.6,,72.6,10.7,7.4,5.3,2.9,1.1,,3.1%,1.1%
Brooklyn Nets,45.5,36.5,.555,0.71,0.01,3.40,10-9,36-27,59-23,29-53,78.8%,0.1%,0.1,1.1,6.9,11.4,14.8,17.5,14.6,12.5,,51.8,15.0,12.6,10.2,6.8,3.7,,4.0%,1.4%
Indiana Pacers,43.2,37.8,.534,-0.92,0.43,1.91,10-8,33-30,56-25,26-55,63.3%,21.0%,,0.7,3.8,6.0,10.0,12.5,15.4,14.9,,33.0,14.3,15.3,14.4,13.2,10.0,,1.8%,0.6%
Miami Heat,43.0,39.0,.525,-0.42,0.09,0.69,11-9,32-30,56-26,30-52,55.3%,11.9%,,0.5,2.3,4.7,7.2,11.3,14.1,15.2,,26.0,14.3,15.4,16.7,14.9,12.7,,0.8%,0.2%
Cleveland Cavaliers,42.7,39.3,.521,0.84,-0.11,0.49,11-9,32-30,57-25,27-55,52.4%,13.0%,,0.4,1.9,3.9,7.0,9.9,13.9,15.3,,23.2,13.6,16.0,17.4,16.4,13.5,,0.7%,0.2%
Atlanta Hawks,42.3,39.7,.516,0.91,0.06,1.28,9-10,33-30,56-26,27-55,48.2%,9.0%,,0.3,1.6,3.5,6.3,8.5,12.8,15.2,,20.1,11.9,14.6,16.9,18.7,17.8,,1.0%,0.3%
Toronto Raptors,39.7,42.3,.484,1.09,0.03,-0.21,9-11,31-31,54-28,26-56,24.2%,,,,0.2,0.9,1.9,3.5,6.4,11.4,,6.4,5.6,9.0,12.7,21.4,44.8,,0.2%,0.1%
Chicago Bulls,32.5,49.5,.396,1.31,-0.30,-4.12,7-14,25-36,46-36,19-63,0.8%,0.1%,,,,,,,0.2,0.5,,0.1,0.1,0.4,0.9,2.9,95.7,,,
Charlotte Hornets,28.3,53.7,.345,0.99,0.40,-7.34,6-12,22-42,42-40,15-67,,,,,,,,,,,,,,,0.1,0.3,99.6,,,
Washington Wizards,24.0,58.0,.293,0.28,0.67,-8.03,3-16,21-42,37-45,10-72,,,,,,,,,,,,,,,,,100.0,,,
Detroit Pistons,21.5,60.5,.262,0.17,0.56,-8.78,2-18,20-42,36-46,8-74,,,,,,,,,,,,,,,,,100.0,,,
